Time [s],F_NEDC,V_NEDC,F_2,V_2,F_1,V_1
36,6.83E-10,-6.83E-15,1611.115,12.365411,259.6935,13.997403
36,6.83E-10,-6.83E-15,1611.115,12.365411,259.6935,13.997403
37,6.83E-10,-6.83E-15,1289.3474,12.515757,597.1218,14.188474
37,6.83E-10,-6.83E-15,1289.3474,12.515757,597.1218,14.188474
38,6.83E-10,-6.83E-15,1150.1849,12.633492,321.5408,14.3023405
38,6.83E-10,-6.83E-15,1150.1849,12.633492,321.5408,14.3023405
39,6.83E-10,-6.83E-15,544.7948,12.714286,465.8336,14.412008
39,6.83E-10,-6.83E-15,544.7948,12.714286,465.8336,14.412008
40,6.83E-10,-6.83E-15,216.07774,12.792978,505.1705,14.494948
40,6.83E-10,-6.83E-15,216.07774,12.792978,505.1705,14.494948
41,6.83E-10,-6.83E-15,-320.31946,12.815703,282.2198,14.497178
41,6.83E-10,-6.83E-15,-320.31946,12.815703,282.2198,14.497178
42,6.83E-10,-6.83E-15,-388.1751,12.865493,774.53015,14.575588
42,6.83E-10,-6.83E-15,-388.1751,12.865493,774.53015,14.575588
43,6.83E-10,-6.83E-15,-527.76355,12.884277,498.31815,14.57835
43,6.83E-10,-6.83E-15,-527.76355,12.884277,498.31815,14.57835
44,6.83E-10,-6.83E-15,-388.9719,12.937918,734.853,14.603763
44,6.83E-10,-6.83E-15,-388.9719,12.937918,734.853,14.603763
45,6.83E-10,-6.83E-15,-448.25394,12.973232,1236.199,14.70986
45,6.83E-10,-6.83E-15,-448.25394,12.973232,1236.199,14.70986
46,6.83E-10,-6.83E-15,-578.7375,12.971599,923.509,14.740765
46,6.83E-10,-6.83E-15,-578.7375,12.971599,923.509,14.740765
47,6.83E-10,-6.83E-15,-842.6001,12.9106455,834.4099,14.741656
47,6.83E-10,-6.83E-15,-842.6001,12.9106455,834.4099,14.741656
48,6.83E-10,-6.83E-15,-895.8012,12.830047,1122.0344,14.794335
48,6.83E-10,-6.83E-15,-895.8012,12.830047,1122.0344,14.794335
49,6.83E-10,-6.83E-15,-855.7029,12.757418,928.432,14.796271
49,6.83E-10,-6.83E-15,-855.7029,12.757418,928.432,14.796271
49.005085,353.0394,-6.83E-15,-810.20905,12.75708,955.3077,14.796285
49.005085,353.0394,-6.83E-15,-810.20905,12.75708,955.3077,14.796285
49.005085,353.03986,1E-10,-810.209,12.75708,955.3077,14.796285
49.005085,353.03986,1E-10,-810.209,12.75708,955.3077,14.796285
50,3478.526,0.6596592,-435.60184,12.7762785,1226.8512,14.848843
50,3478.526,0.6596592,-435.60184,12.7762785,1226.8512,14.848843
51,3479.3674,1.3540952,-422.3289,12.796459,1112.5006,14.877764
51,3479.3674,1.3540952,-422.3289,12.796459,1112.5006,14.877764
52,3481.1265,2.048522,-303.13156,12.827085,1237.7539,14.932067
52,3481.1265,2.048522,-303.13156,12.827085,1237.7539,14.932067
53,3483.617,2.7429416,-112.85086,12.880187,1015.99854,14.934284
53,3483.617,2.7429416,-112.85086,12.880187,1015.99854,14.934284
54,3486.8389,3.4373538,106.47937,12.958988,1307.6521,14.986923
54,3486.8389,3.4373538,106.47937,12.958988,1307.6521,14.986923
55,3490.792,4.1317587,-86.4662,12.9754095,1224.6709,15.015532
55,3490.792,4.1317587,-86.4662,12.9754095,1224.6709,15.015532
56,3912.6914,4.914577,173.57823,13.02774,885.5737,14.9633665
56,3912.6914,4.914577,173.57823,13.02774,885.5737,14.9633665
57,3919.0557,5.70155,259.36722,13.102176,1533.5948,15.040219
57,3919.0557,5.70155,259.36722,13.102176,1533.5948,15.040219
